time_step,name,mean_trait_val,sd_trait_val
t1,bark_thickness,17.224583145672945,31.62521476375326
t1,bud_burst_early,2.2483311324782496,2.3692678309311344
t1,bud_burst_late,2.4138219708195097,2.5418561137100486
t1,bud_burst_mean,2.3310765516488794,2.450766598058289
t1,clonal_growth_form,0.8639470572800964,1.1800493494064739
t1,coarse_root_depth,0.680932638516202,1.1017185266468423
t1,cold_tolerance,-25.037626053215675,23.762244864083687
t1,cone_serotiny,0.10945273631840796,0.3125954401969027
t1,deg_self_pruning,0.1044776119402985,0.30626028528102955
t1,dispersal_distance,91.39827717473024,243.2450735485044
t1,dispersal_syndrome,5.352292768916544,1.3045319317933184
t1,drought_tolerance,1.2343534344524583,1.3083765861255798
t1,fire_resistance,0.04477611940298507,0.20706974652770513
t1,fire_tolerance,0.14427860696517414,0.3518098585154743
t1,foliage,1.3944399502375682,1.4012950562979458
t1,hydraulic_safety_margin_50,0.501711446180954,0.7082765711625011
t1,hydraulic_safety_margin_88,0.4856079565891676,0.7241375950886264
t1,leaf_dry_matter_content,0.20530782316202126,0.21682173790125336
t1,leaf_flammability,0.004975124378109453,0.07044655835560087
t1,leaf_force_punch,1.3683821644697471,1.859579347317225
t1,leaf_length,1.6883714361080937,2.561876770473568
t1,leaf_mass_area,432.28113320262963,1286.415517304889
t1,leaf_photosyn_rate,2341.7014156329533,46854.0987723508
t1,leaf_text_coarse,0.4610022920975775,0.4661391681229333
t1,leaf_texture,0,0
t1,leaf_thickness,0.11882906598119991,0.1800873132029849
t1,leaf_toughness,1.0438507462686573e-4,0.00209291423846087
t1,leaf_water_content,0.09818516301486625,1.5882956782517925
t1,low_branch_height,0.18108380115579661,0.4055687966488483
t1,max_height,17.894792752508174,18.324482390160103
t1,min_midday_xylem,-0.6691930199199747,0.7920856268929598
t1,min_predawn_xylem,-0.05828422120986991,0.2359330382772187
t1,photosyn_rate_per_leaf_area,0.013535867328072874,0.21896342500661348
t1,photosynth_water_effic,0.8019038449169603,1.3018830451445151
t1,plant_height_gen,3.3482707442769057,6.7938292043756014
t1,plant_height_veg,17.63025732934942,16.608170079555258
t1,relative_growth_rate,0.028721144805681286,0.02923854238845106
t1,resprout_ability,0.19451154913029695,0.3290408941622482
t1,seed_bank_longevity,0.29118086705875695,0.6414384212598871
t1,seedbank_density,283243.47694391105,3559759.3314880948
t1,seedbank_duration,0.052056275282737124,0.26941356343729594
t1,shade_tolerance,1.4901155006377358,1.7792109930480164
t1,slope_vulnerability_curve,24.332079966116183,28.29246245953321
t1,specific_leaf_area,14.605798024000821,6.203321146599613
t1,specific_leaf_conduct,2.779677913899638e-5,3.914480491876518e-5
t1,stem_conduit_dens,563.8074363870116,914.8470673480194
t1,stem_conduit_diam,9.275585533666941,10.182348809267578
t1,stem_xylem_vulnerability_p50,-0.4106414600671087,0.8923916048142198
t1,stomata_density,1.3771991557624816,7.412571446890274
t1,stomatal_conductance,70.23942283209408,106.13922872583596
t1,water_potential_12_loss_stem,-0.9253859489264225,1.0779811587357127
t1,water_potential_50_loss_stem,-1.6196206210904684,1.4063778240095828
t1,water_potential_88_loss_stem,-2.053936656638865,2.112633913646631
t1,water_use_effic,8.635883662999253,23.021926767253834
t1,waterlogging_tolerance,0.852436195065479,0.8998742867200953
t1,wood_density,0.8150230996112829,11.429858304564794
t1,xylem_conductance,0.21016119331966304,2.3266774654300306
t2,bark_thickness,33.57367964900044,51.10376920678736
t2,bud_burst_early,3.93347655242256,2.292209806914637
t2,bud_burst_late,4.159405684123499,2.392990337093748
t2,bud_burst_mean,4.046441118273029,2.334823273305593
t2,clonal_growth_form,1.8940399689810117,1.5201139655465759
t2,coarse_root_depth,1.7714329374008533,1.6128175387730999
t2,cold_tolerance,-38.06335873658963,20.675889727870885
t2,cone_serotiny,0.997857859287016,0.6121763046619996
t2,deg_self_pruning,0,0
t2,dispersal_distance,193.27319297491016,333.96034155998893
t2,dispersal_syndrome,5.016494092468356,1.4154866087571707
t2,drought_tolerance,2.1702061530960406,1.3328358680319536
t2,fire_resistance,0.140625,0.3490002594588752
t2,fire_tolerance,0.9459490670486159,0.5881222853338594
t2,foliage,2.723204205399341,1.7012511297380732
t2,hydraulic_safety_margin_50,0.46321739144061913,0.7457604443193562
t2,hydraulic_safety_margin_88,0.31474933678179084,0.4576267636409414
t2,leaf_dry_matter_content,0.23604405702821354,0.23777384379895164
t2,leaf_flammability,0,0
t2,leaf_force_punch,1.9346367105901423,2.0896879448261076
t2,leaf_length,2.6562095966490165,2.708221301311678
t2,leaf_mass_area,135.3170862242678,142.69492387798184
t2,leaf_photosyn_rate,7.629820554551975,5.217572522659649
t2,leaf_text_coarse,1.5551750852850146,0.8076858270577635
t2,leaf_texture,0,0
t2,leaf_thickness,0.21068584640620397,0.23681055718990524
t2,leaf_toughness,0,0
t2,leaf_water_content,0,0
t2,low_branch_height,0.1158339816372548,0.5162805505125284
t2,max_height,34.089316081810004,21.009959041656508
t2,min_midday_xylem,-0.8191471110242432,0.9005052927891273
t2,min_predawn_xylem,-0.17654971843022316,0.4151739643754148
t2,photosyn_rate_per_leaf_area,0,0
t2,photosynth_water_effic,1.3538905790226512,1.818772020399645
t2,plant_height_gen,1.7191760715132154,5.258447743334337
t2,plant_height_veg,27.72767487957388,18.608106607786244
t2,relative_growth_rate,0.012579379654349986,0.023781787025571207
t2,resprout_ability,0.2290270584503083,0.3523267224592083
t2,seed_bank_longevity,0.45185826340187707,0.7890709331906726
t2,seedbank_density,97439.58689490064,434295.3842452833
t2,seedbank_duration,0,0
t2,shade_tolerance,2.2227308950125297,1.6677544978761323
t2,slope_vulnerability_curve,41.3761300164484,28.3307552660449
t2,specific_leaf_area,9.945373873428041,7.931721337033188
t2,specific_leaf_conduct,3.399374209113074e-5,4.292876762782538e-5
t2,stem_conduit_dens,1065.6152278239472,1138.4047079271354
t2,stem_conduit_diam,14.712903914796138,9.711117016246165
t2,stem_xylem_vulnerability_p50,-0.6621306974931694,1.1743137291090509
t2,stomata_density,3.727987849450859,16.615915226378476
t2,stomatal_conductance,89.04427948171691,107.58077724340754
t2,water_potential_12_loss_stem,-1.8885463396902422,1.2881339130552165
t2,water_potential_50_loss_stem,-2.3722054407758972,1.3040281548562362
t2,water_potential_88_loss_stem,-3.4567556016421075,1.9514238794489602
t2,water_use_effic,15.9824851277001,31.740462681740354
t2,waterlogging_tolerance,1.3598808613121849,0.9131247327790162
t2,wood_density,0.17590553718609184,0.09220655116997162
t2,xylem_conductance,0.28849878041037524,3.095615247596135
