"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","meas_date","utm_n","utm_e"
"1",1100891,0,0,1,"ABIE","LAS","",64.5,0.8,"2003-JUN-30",6620000,540000
"2",1100891,0,0,2,"PICE","SPP","",35.5,0.2,"2003-JUN-30",6620000,540000
"3",1100891,0,1,1,"ABIE","LAS","",68.8,0.875,"2021-JUL-18",6620000,540000
"4",1100891,0,1,2,"PICE","SPP","",31.2,0.125,"2021-JUL-18",6620000,540000
"5",1100951,0,0,1,"PICE","GLA","",95.6,0.88,"2005-JUL-13",6640000,440000
"6",1100951,0,0,2,"POPU","TRE","",4.4,0.12,"2005-JUL-13",6640000,440000
"7",1100951,0,1,1,"PICE","GLA","",95.7,0.88,"2020-AUG-07",6640000,440000
"8",1100951,0,1,2,"POPU","TRE","",4.3,0.12,"2020-AUG-07",6640000,440000
"9",1100981,0,0,1,"PICE","SPP","",93.9,0.919,"2003-JUL-21",6640000,560000
"10",1100981,0,0,2,"BETU","NEO","",6.1,0.081,"2003-JUL-21",6640000,560000
"11",1100981,0,1,1,"PICE","GLA","",96.7,0.962,"2020-AUG-11",6640000,560000
"12",1100981,0,1,2,"BETU","NEO","",3.3,0.038,"2020-AUG-11",6640000,560000
"13",1100996,0,0,1,"PINU","CON","",84,0.769,"2003-JUL-19",6650000,620000
"14",1100996,0,0,2,"PICE","SPP","",12.7,0.192,"2003-JUL-19",6650000,620000
"15",1100996,0,0,3,"PICE","MAR","",3.3,0.038,"2003-JUL-19",6650000,620000
"16",1100996,0,1,1,"PINU","CON","LAT",73.3,0.629,"2020-AUG-21",6650000,620000
"17",1100996,0,1,2,"PICE","MAR","",26.7,0.371,"2020-AUG-21",6650000,620000
"18",1101011,0,0,1,"PICE","SPP","",88.4,0.857,"2003-JUL-18",6650000,340000
"19",1101011,0,0,2,"ABIE","LAS","",11.6,0.143,"2003-JUL-18",6650000,340000
"20",1101011,0,1,1,"PICE","GLA","",78.6,0.724,"2020-JUL-19",6650000,340000
"21",1101011,0,1,2,"ABIE","LAS","",21.4,0.276,"2020-JUL-19",6650000,340000
"22",1101036,0,0,1,"PICE","GLA","",97.5,0.846,"2004-AUG-16",6640000,440000
"23",1101036,0,0,2,"BETU","SPP","",2.5,0.154,"2004-AUG-16",6640000,440000
"24",1101036,0,1,1,"PICE","GLA","",87.9,0.556,"2020-JUL-18",6640000,440000
"25",1101051,0,1,1,"PICE","GLA","",100,1,"2020-JUL-03",6640000,500000
"26",1107841,0,0,1,"PICE","SPP","",85.2,0.878,"2003-JUL-16",6620000,480000
"27",1107841,0,0,2,"PINU","CON","",12.5,0.1,"2003-JUL-16",6620000,480000
"28",1107841,0,1,1,"PICE","MAR","",68.9,0.688,"2020-AUG-08",6620000,480000
"29",1107841,0,1,2,"PICE","GLA","",17.2,0.203,"2020-AUG-08",6620000,480000
"30",1107841,0,1,3,"PINU","CON","LAT",13.9,0.109,"2020-AUG-08",6620000,480000
"31",1107881,0,0,1,"PINU","CON","",80.7,0.864,"2001-AUG-19",6630000,640000
"32",1107881,0,0,2,"PICE","MAR","",19.3,0.136,"2001-AUG-19",6630000,640000
"33",1107881,0,1,1,"PINU","CON","LAT",73.3,0.777,"2020-AUG-10",6630000,640000
"34",1107881,0,1,2,"PICE","MAR","",26.7,0.223,"2020-AUG-10",6630000,640000
"35",1107901,0,0,1,"PICE","ENG","GLA",73.2,0.75,"2001-JUL-14",6630000,380000
"36",1107901,0,0,2,"ABIE","LAS","",26.8,0.25,"2001-JUL-14",6630000,380000
"37",1107901,0,1,1,"PICE","ENG","GLA",76.1,0.757,"2020-JUL-20",6630000,380000
"38",1107901,0,1,2,"ABIE","LAS","",23.9,0.243,"2020-JUL-20",6630000,380000
"39",1107906,0,0,1,"PICE","MAR","",48.9,0.732,"2004-AUG-19",6630000,400000
"40",1107906,0,0,2,"PINU","CON","",27,0.146,"2004-AUG-19",6630000,400000
"41",1107906,0,0,3,"BETU","PAP","",24.1,0.122,"2004-AUG-19",6630000,400000
"42",1107906,0,1,1,"PICE","MAR","",54.4,0.742,"2020-JUL-23",6630000,400000
"43",1107906,0,1,2,"BETU","PAP","",28.6,0.129,"2020-JUL-23",6630000,400000
"44",1107906,0,1,3,"PINU","CON","",16.3,0.097,"2020-JUL-23",6630000,400000
"45",1107906,0,1,4,"ABIE","LAS","",0.8,0.032,"2020-JUL-23",6630000,400000
"46",1107921,0,0,1,"PICE","MAR","",72.7,0.875,"2001-JUL-16",6620000,460000
"47",1107921,0,0,2,"LARI","LAR","",27.3,0.125,"2001-JUL-16",6620000,460000
"48",1107921,0,1,1,"PICE","MAR","",64.6,0.857,"2020-JUL-15",6620000,460000
"49",1107921,0,1,2,"LARI","LAR","",35.4,0.143,"2020-JUL-15",6620000,460000
"50",1114666,0,0,1,"PICE","SPP","",100,1,"2002-JUL-30",6590000,600000
"51",1114666,0,1,1,"PICE","ENG","GLA",100,1,"2021-JUL-21",6590000,600000
"52",1114726,0,0,1,"PINU","CON","",80.9,0.757,"2002-JUL-28",6600000,500000
"53",1114726,0,0,2,"PICE","SPP","",19.1,0.243,"2002-JUL-28",6600000,500000
"54",1114726,0,1,1,"PINU","CON","LAT",74.4,0.722,"2020-AUG-09",6600000,500000
"55",1114726,0,1,2,"PICE","GLA","",24.8,0.259,"2020-AUG-09",6600000,500000
"56",1114726,0,1,3,"PICE","MAR","",0.8,0.019,"2020-AUG-09",6600000,500000
"57",1114736,0,0,1,"PINU","CON","LAT",100,1,"2005-JUL-10",6600000,540000
"58",1114741,0,0,1,"PICE","MAR","",91.4,0.937,"2005-JUL-09",6600000,560000
"59",1114741,0,0,2,"POPU","BAL","",5.4,0.048,"2005-JUL-09",6600000,560000
"60",1114741,0,0,3,"PINU","CON","LAT",3.2,0.016,"2005-JUL-09",6600000,560000
"61",1114741,0,1,1,"PICE","MAR","",79.1,0.76,"2020-AUG-17",6600000,560000
"62",1114741,0,1,2,"POPU","BAL","",15.3,0.18,"2020-AUG-17",6600000,560000
"63",1114761,0,0,1,"PICE","GLA","",65.2,0.563,"2005-JUL-07",6610000,640000
"64",1114761,0,0,2,"BETU","PAP","",17.5,0.25,"2005-JUL-07",6610000,640000
"65",1114761,0,0,3,"PICE","MAR","",10.3,0.125,"2005-JUL-07",6610000,640000
"66",1114761,0,1,1,"PICE","GLA","",76.8,0.778,"2020-AUG-12",6610000,640000
"67",1114771,0,1,1,"PINU","CON","",91.5,0.909,"2020-JUL-22",6610000,340000
"68",1114771,0,1,2,"PICE","GLA","",8.5,0.091,"2020-JUL-22",6610000,340000
"69",1114846,0,0,1,"POPU","TRE","",81,0.776,"2002-JUL-15",6600000,640000
"70",1114846,0,0,2,"PICE","GLA","",19,0.224,"2002-JUL-15",6600000,640000
"71",1114846,0,1,1,"POPU","TRE","",62.1,0.55,"2019-JUL-15",6600000,640000
"72",1114846,0,1,2,"PICE","GLA","",37.2,0.433,"2019-JUL-15",6600000,640000
"73",1114846,0,1,3,"PSEU","MEN","GLA",0.7,0.017,"2019-JUL-15",6600000,640000
"74",1121576,0,0,1,"ABIE","LAS","",100,1,"2001-AUG-21",6580000,380000
"75",1121576,0,1,1,"ABIE","LAS","",100,1,"2021-AUG-17",6580000,380000
"76",1121621,0,0,1,"PICE","GLA","",73.1,0.722,"2001-AUG-24",6580000,560000
"77",1121621,0,0,2,"PINU","CON","",26.9,0.278,"2001-AUG-24",6580000,560000
"78",1121621,0,1,1,"PICE","GLA","",79.7,0.704,"2020-AUG-19",6580000,560000
"79",1121621,0,1,2,"PINU","CON","LAT",18.7,0.222,"2020-AUG-19",6580000,560000
"80",1121621,0,1,3,"PICE","MAR","",1.6,0.074,"2020-AUG-19",6580000,560000
"81",1121706,0,0,1,"PICE","MAR","",71.3,0.815,"2001-JUL-18",6580000,560000
"82",1128496,0,0,1,"PICE","SPP","",100,1,"2002-JUL-27",6560000,540000
"83",1128496,0,1,1,"PICE","GLA","",100,1,"2020-AUG-14",6560000,540000
"84",1128551,0,1,1,"PICE","MAR","",61.2,0.742,"2020-JUL-11",6570000,420000
"85",1128551,0,1,2,"PICE","GLA","",38.8,0.258,"2020-JUL-11",6570000,420000
"86",1128606,0,0,1,"PICE","MAR","",100,1,"2002-JUL-09",6560000,640000
"87",1128606,0,1,1,"PICE","MAR","",100,1,"2019-JUL-02",6560000,640000
"88",1128611,0,0,1,"POPU","TRE","",82.9,0.945,"2002-JUL-13",6560000,660000
"89",1128611,0,1,1,"POPU","TRE","",73.7,0.85,"2019-JUL-04",6560000,660000
"90",1135306,0,0,1,"ABIE","LAS","",100,1,"2003-JUL-23",6530000,610000
"91",1135306,0,1,1,"ABIE","LAS","",100,1,"2021-JUL-20",6530000,610000
"92",1135321,0,0,1,"ABIE","LAS","",100,1,"2003-JUL-25",6530000,670000
"93",1135321,0,1,1,"ABIE","LAS","",100,1,"2021-JUL-19",6530000,670000
"94",1135396,0,0,1,"PICE","MAR","",57.8,0.667,"2002-JUL-31",6550000,620000
"95",1135396,0,0,2,"PICE","SPP","",32.6,0.222,"2002-JUL-31",6550000,620000
"96",1135396,0,0,3,"PINU","CON","",9.6,0.111,"2002-JUL-31",6550000,620000
"97",1135396,0,1,1,"PICE","MAR","",51.2,0.643,"2020-AUG-13",6550000,620000
"98",1135396,0,1,2,"PICE","GLA","",48.8,0.357,"2020-AUG-13",6550000,620000
"99",1135431,0,0,1,"PICE","MAR","",100,1,"2000-AUG-26",6550000,420000
"100",1135431,0,1,1,"PICE","MAR","",100,1,"2020-JUL-04",6550000,420000
"101",1135451,0,0,1,"PICE","MAR","",96.2,0.966,"2004-AUG-27",6540000,500000
"102",1135451,0,0,2,"PICE","GLA","",3.8,0.034,"2004-AUG-27",6540000,500000
"103",1135451,0,1,1,"PICE","MAR","",96.7,0.978,"2019-JUN-26",6540000,500000
"104",1135451,0,1,2,"PICE","GLA","",3.3,0.022,"2019-JUN-26",6540000,500000
"105",1135456,0,0,1,"PICE","GLA","",85.4,0.615,"2004-AUG-11",6540000,520000
"106",1135456,0,0,2,"PICE","MAR","",7,0.154,"2004-AUG-11",6540000,520000
"107",1135456,0,0,5,"BETU","SPP","",1.3,0.077,"2004-AUG-11",6540000,520000
"108",1135456,0,1,1,"PICE","GLA","",83.1,0.615,"2019-JUL-07",6540000,520000
"109",1135456,0,1,2,"PICE","MAR","",7.8,0.154,"2019-JUL-07",6540000,520000
"110",1135471,0,0,1,"LARI","LAR","",100,1,"2003-JUN-16",6540000,580000
"111",1135471,0,1,1,"LARI","LAR","",100,1,"2019-JUL-22",6540000,580000
"112",1142211,0,0,1,"PICE","SPP","",100,1,"2003-JUN-24",6520000,360000
"113",1142211,0,1,1,"PICE","ENG","GLA",100,1,"2021-AUG-16",6520000,360000
"114",1142241,0,1,1,"PINU","CON","",88.2,0.75,"2021-JUL-14",6520000,480000
"115",1142241,0,1,2,"PICE","SPP","",11.8,0.25,"2021-JUL-14",6520000,480000
"116",1142316,0,0,1,"PINU","CON","LAT",100,1,"2003-JUL-30",6530000,440000
"117",1142316,0,1,1,"PICE","MAR","",62.7,0.778,"2020-JUL-06",6530000,440000
"118",1142316,0,1,2,"PINU","CON","",37.3,0.222,"2020-JUL-06",6530000,440000
"119",1142331,0,0,1,"PICE","MAR","",92.5,0.929,"2004-AUG-14",6520000,500000
"120",1142331,0,0,2,"LARI","LAR","",7.5,0.071,"2004-AUG-14",6520000,500000
"121",1142331,0,1,1,"PICE","MAR","",91.8,0.944,"2019-JUL-06",6520000,500000
"122",1142331,0,1,2,"LARI","LAR","",8.2,0.056,"2019-JUL-06",6520000,500000
"123",1142341,0,0,1,"BETU","PAP","",83.9,0.5,"2004-AUG-20",6520000,540000
"124",1142341,0,0,2,"PICE","GLA","",16.1,0.5,"2004-AUG-20",6520000,540000
"125",1142341,0,1,1,"BETU","PAP","",65.6,0.5,"2019-JUL-23",6520000,540000
"126",1142341,0,1,2,"PICE","GLA","",34.4,0.5,"2019-JUL-23",6520000,540000
"127",1149076,0,0,1,"ABIE","LAS","",100,1,"2001-AUG-23",6490000,650000
"128",1149076,0,1,1,"ABIE","LAS","",100,1,"2021-JUL-22",6490000,650000
"129",1149111,0,0,1,"PICE","SPP","",90.4,0.773,"2003-JUL-26",6500000,440000
"130",1149111,0,0,2,"ABIE","LAS","",9.6,0.227,"2003-JUL-26",6500000,440000
"131",1149111,0,1,1,"PICE","SPP","",80.2,0.654,"2021-AUG-18",6500000,440000
"132",1149111,0,1,2,"ABIE","LAS","",19.8,0.346,"2021-AUG-18",6500000,440000
"133",1149116,0,0,1,"ABIE","LAS","",95.8,0.973,"2002-JUL-23",6500000,460000
"134",1149116,0,0,2,"PICE","SPP","",4.2,0.027,"2002-JUL-23",6500000,460000
"135",1149116,0,1,1,"ABIE","LAS","",95.6,0.971,"2021-JUL-16",6500000,460000
"136",1149116,0,1,2,"PICE","SPP","",4.4,0.029,"2021-JUL-16",6500000,460000
"137",1149246,0,0,1,"LARI","LAR","",100,1,"2001-JUL-19",6500000,640000
"138",1149246,0,1,1,"LARI","LAR","",100,1,"2019-JUL-11",6500000,640000
"139",1156121,0,0,1,"PICE","MAR","",57.7,0.78,"2003-JUN-18",6480000,610000
"140",1156121,0,0,2,"LARI","LAR","",27.5,0.146,"2003-JUN-18",6480000,610000
"141",1156121,0,0,3,"PICE","GLA","",14.8,0.073,"2003-JUN-18",6480000,610000
"142",1156121,0,1,1,"PICE","MAR","",52.8,0.783,"2019-JUL-12",6480000,610000
"143",1156121,0,1,2,"LARI","LAR","",29.7,0.13,"2019-JUL-12",6480000,610000
"144",1156121,0,1,3,"PICE","GLA","",16.8,0.065,"2019-JUL-12",6480000,610000
"145",1156121,0,1,4,"BETU","NEO","",0.7,0.022,"2019-JUL-12",6480000,610000
"146",1162841,0,0,1,"ABIE","LAS","",100,1,"2003-JUN-26",6460000,330000
"147",1162841,0,1,1,"ABIE","LAS","",100,1,"2020-JUL-15",6460000,330000
"148",1162966,0,0,1,"PICE","MAR","",58.2,0.581,"2004-AUG-24",6460000,470000
"149",1162966,0,0,2,"ABIE","LAS","",31.8,0.29,"2004-AUG-24",6460000,470000
"150",1162966,0,0,3,"PICE","GLA","",10,0.129,"2004-AUG-24",6460000,470000
"151",1162966,0,1,1,"PICE","MAR","",51.4,0.574,"2020-JUL-07",6460000,470000
"152",1162966,0,1,2,"ABIE","LAS","",38.1,0.295,"2020-JUL-07",6460000,470000
"153",1162966,0,1,3,"PICE","GLA","",10.5,0.131,"2020-JUL-07",6460000,470000
"154",1162986,0,0,1,"POPU","BAL","",78,0.875,"2001-JUL-21",6460000,550000
"155",1162986,0,0,2,"PINU","CON","",22,0.125,"2001-JUL-21",6460000,550000
"156",1163006,0,0,1,"LARI","LAR","",63.1,0.647,"2001-JUL-19",6460000,630000
"157",1163006,0,0,2,"PICE","MAR","",36.9,0.353,"2001-JUL-19",6460000,630000
"158",1163006,0,1,1,"LARI","LAR","",66.3,0.733,"2019-JUL-17",6460000,630000
"159",1163006,0,1,2,"PICE","MAR","",33.7,0.267,"2019-JUL-17",6460000,630000
"160",1169726,0,0,1,"ABIE","LAS","",72.3,0.846,"2002-JUL-22",6440000,350000
"161",1169726,0,0,2,"PICE","SPP","",27.7,0.154,"2002-JUL-22",6440000,350000
"162",1169811,0,0,1,"ABIE","LAS","",60.5,0.433,"2003-JUL-24",6450000,330000
"163",1169811,0,0,2,"PICE","ENG","GLA",25.7,0.367,"2003-JUL-24",6450000,330000
"164",1169811,0,0,3,"PINU","CON","LAT",13.9,0.2,"2003-JUL-24",6450000,330000
"165",1169811,0,1,3,"PINU","CON","",10.6,0.148,"2018-JUL-17",6450000,330000
"166",1176611,0,0,1,"POPU","TRE","",55.2,0.75,"2002-AUG-01",6420000,370000
"167",1176611,0,1,1,"POPU","TRE","",56.3,0.684,"2021-AUG-07",6420000,370000
"168",1176651,0,0,1,"PICE","MAR","",100,1,"2001-AUG-18",6420000,530000
"169",1176651,0,1,1,"PICE","MAR","",100,1,"2021-AUG-04",6420000,530000
"170",1176656,0,0,1,"ABIE","LAS","",100,1,"2003-JUN-27",6420000,550000
"171",1176656,0,1,1,"ABIE","LAS","",100,1,"2021-JUL-31",6420000,550000
"172",1183511,0,0,3,"ABIE","LAS","",1.1,0.1,"2003-JUL-01",6400000,450000
"173",1183516,0,0,1,"PICE","ENG","GLA",59.6,0.579,"2005-JUL-18",6400000,470000
"174",1183516,0,0,2,"POPU","TRE","",33.5,0.316,"2005-JUL-18",6400000,470000
"175",1183516,0,0,3,"ABIE","LAS","",6.9,0.105,"2005-JUL-18",6400000,470000
"176",1183516,0,1,1,"PICE","ENG","GLA",51.6,0.429,"2021-JUL-29",6400000,470000
"177",1183601,0,0,1,"PICE","GLA","",83.9,0.934,"2003-JUN-21",6400000,450000
"178",1183601,0,0,2,"POPU","BAL","",16.1,0.066,"2003-JUN-21",6400000,450000
"179",1183601,0,1,1,"PICE","GLA","",85.3,0.931,"2019-JUL-20",6400000,450000
"180",1183601,0,1,2,"POPU","BAL","",14.7,0.069,"2019-JUL-20",6400000,450000
"181",1190376,0,0,1,"PICE","SPP","",87.2,0.775,"2002-JUL-24",6380000,390000
"182",1190376,0,0,2,"POPU","BAL","",12.8,0.225,"2002-JUL-24",6380000,390000
"183",1190376,0,1,1,"PICE","SPP","",88.4,0.75,"2021-AUG-02",6380000,390000
"184",1190376,0,1,2,"POPU","BAL","",11.6,0.25,"2021-AUG-02",6380000,390000
"185",1190456,0,0,1,"PICE","ENG","GLA",86.1,0.679,"2003-JUL-25",6390000,350000
"186",1190456,0,0,2,"ABIE","LAS","",11.4,0.286,"2003-JUL-25",6390000,350000
"187",1190456,0,0,3,"PINU","CON","LAT",2.5,0.036,"2003-JUL-25",6390000,350000
"188",1190456,0,1,1,"PICE","ENG","GLA",86.4,0.621,"2018-JUL-14",6390000,350000
"189",1190456,0,1,2,"ABIE","LAS","",13.6,0.379,"2018-JUL-14",6390000,350000
"190",1197411,0,0,1,"PICE","MAR","",100,1,"2001-JUL-24",6360000,650000
"191",1197411,0,1,1,"PICE","MAR","",66.5,0.667,"2019-SEP-08",6360000,650000
"192",1197411,0,1,2,"LARI","LAR","",33.5,0.333,"2019-SEP-08",6360000,650000
"193",1204221,0,1,1,"PICE","ENG","GLA",97.2,0.818,"2018-JUL-16",6350000,370000
"194",1204221,0,1,2,"PINU","CON","",2.8,0.182,"2018-JUL-16",6350000,370000
"195",1204261,0,0,1,"PICE","MAR","",100,1,"2003-JUN-26",6340000,530000
"196",1204261,0,1,1,"PICE","MAR","",98.7,0.983,"2019-JUL-26",6340000,530000
"197",1204261,0,1,2,"PICE","GLA","",1.3,0.017,"2019-JUL-26",6340000,530000
"198",1204271,0,0,1,"PINU","CON","LAT",93.3,0.846,"2002-JUL-21",6340000,570000
"199",1204271,0,0,2,"PICE","GLA","",4.1,0.077,"2002-JUL-21",6340000,570000
"200",1204271,0,0,3,"PICE","MAR","",2.6,0.077,"2002-JUL-21",6340000,570000
"201",1204271,0,1,1,"PICE","MAR","",47.9,0.571,"2019-JUL-27",6340000,570000
"202",1204271,0,1,2,"PICE","GLA","",36.4,0.286,"2019-JUL-27",6340000,570000
"203",1204271,0,1,3,"PINU","CON","",15.7,0.143,"2019-JUL-27",6340000,570000
"204",1204276,0,0,1,"POPU","TRE","",57.3,0.824,"2001-JUL-27",6340000,590000
"205",1204276,0,0,2,"PICE","GLA","",42.7,0.176,"2001-JUL-27",6340000,590000
"206",1204281,0,0,1,"POPU","TRE","",74.3,0.773,"2001-JUL-25",6340000,610000
"207",1204281,0,0,2,"PICE","GLA","",19.2,0.213,"2001-JUL-25",6340000,610000
"208",1204281,0,0,3,"PINU","CON","",6.5,0.013,"2001-JUL-25",6340000,610000
"209",1204281,0,1,1,"POPU","TRE","",61.5,0.6,"2019-JUL-23",6340000,610000
"210",1204281,0,1,2,"PICE","GLA","",33,0.386,"2019-JUL-23",6340000,610000
"211",1204281,0,1,3,"PINU","CON","",5.4,0.014,"2019-JUL-23",6340000,610000
"212",1211016,0,0,1,"ABIE","LAS","",100,1,"2002-JUL-25",6320000,390000
"213",1211016,0,1,1,"ABIE","LAS","",100,1,"2021-AUG-16",6320000,390000
"214",1211056,0,0,1,"ABIE","LAS","",98.4,0.982,"2005-JUL-17",6320000,550000
"215",1211056,0,0,2,"PICE","ENG","",1.6,0.018,"2005-JUL-17",6320000,550000
"216",1211056,0,1,1,"ABIE","LAS","",97.8,0.981,"2018-JUL-12",6320000,550000
"217",1211056,0,1,2,"PICE","ENG","",2.2,0.019,"2018-JUL-12",6320000,550000
"218",1211116,0,0,1,"PICE","ENG","",64.1,0.613,"2005-JUN-18",6330000,430000
"219",1211116,0,0,2,"ABIE","LAS","",35.9,0.387,"2005-JUN-18",6330000,430000
"220",1211116,0,1,1,"PICE","ENG","",61.5,0.613,"2018-JUL-15",6330000,430000
"221",1211116,0,1,2,"ABIE","LAS","",38.5,0.387,"2018-JUL-15",6330000,430000
"222",1217986,0,0,1,"ABIE","LAS","",89.4,0.867,"2003-JUL-27",6310000,390000
"223",1217986,0,0,2,"PINU","CON","LAT",9.8,0.1,"2003-JUL-27",6310000,390000
"224",1217986,0,0,3,"PICE","ENG","GLA",0.8,0.033,"2003-JUL-27",6310000,390000
"225",1217986,0,1,1,"ABIE","LAS","",97.5,0.947,"2018-JUL-21",6310000,390000
"226",1217986,0,1,2,"PICE","ENG","GLA",1.3,0.026,"2018-JUL-21",6310000,390000
"227",1217986,0,1,3,"PINU","CON","",1.3,0.026,"2018-JUL-21",6310000,390000
