"","nfi_plot","meas_date","meas_num","bindex_ltshannon","bindex_lteven","bindex_ltmargalef","bindex_stshannon","bindex_steven","bindex_stmargalef"
"1",1156291,"2004-JUL-19",0,0,0,0,0,0,0
"2",1156291,"2016-SEP-07",1,0,0,0,0,0,0
"3",1183821,"2004-JUL-20",0,0.13,0.18,0.28,0.48,0.7,0.21
"4",1183821,"2014-AUG-12",1,0,0,0,0.23,0.34,0.36
"5",1197591,"2004-JUL-21",0,0.42,0.61,0.27,0.57,0.52,0.54
"6",1197591,"2014-AUG-13",1,0,0,0,0,0,0
"7",1211411,"2009-AUG-29",1,0.42,0.3,0.74,0.71,0.64,0.6
"8",1211411,"2019-AUG-26",2,0.41,0.3,0.73,0,0,0
"9",1225141,"2004-JUL-27",0,0.38,0.54,0.36,0.1,0.15,0.26
"10",1225141,"2011-JUL-14",1,0.52,0.74,0.34,0,0,0
"11",1225151,"2003-SEP-14",0,0,0,0,0.44,0.63,0.31
"12",1225151,"2014-AUG-10",1,0,0,0,0,0,0
"13",1225161,"2003-SEP-13",0,0.27,0.38,0.27,0,0,0
"14",1225161,"2009-AUG-29",1,0.27,0.38,0.27,0,0,0
"15",1225161,"2019-AUG-28",2,0.26,0.38,0.27,0,0,0
"16",1225181,"2003-SEP-15",0,0,0,0,0,0,0
"17",1225181,"2012-AUG-11",1,0,0,0,0,0,0
"18",1225201,"2003-SEP-26",0,0,0,0,0,0,0
"19",1225201,"2009-AUG-30",1,0,0,0,0,0,0
"20",1225201,"2019-AUG-27",2,0,0,0,0,0,0
"21",1238891,"2004-JUL-27",0,0.18,0.26,0.32,0.41,0.37,0.45
"22",1238891,"2012-AUG-07",1,0.23,0.33,0.29,0.23,0.34,0.23
"23",1238901,"2014-AUG-11",1,0.62,0.89,0.23,0,0,0
"24",1238911,"2006-SEP-09",0,0,0,0,0.8,0.72,0.59
"25",1238911,"2011-JUL-15",1,0,0,0,0.69,1,0.31
"26",1238921,"2004-SEP-08",0,0,0,0,0.33,0.47,0.43
"27",1238921,"2016-SEP-06",1,0,0,0,0.13,0.19,0.2
"28",1238931,"2006-SEP-08",0,1.16,0.72,1.34,1.31,0.95,0.94
"29",1238931,"2012-AUG-10",1,0.83,0.75,0.69,1.16,0.72,1.08
"30",1238941,"2003-SEP-27",0,0.47,0.67,0.25,0.73,0.67,0.74
"31",1238941,"2013-SEP-02",1,0.27,0.38,0.27,0.16,0.23,0.3
"32",1238951,"2004-SEP-11",0,0,0,0,0.99,0.91,0.69
"33",1238951,"2009-AUG-26",1,0,0,0,0.68,0.62,0.69
"34",1238951,"2018-JUL-26",2,0,0,0,0.55,0.79,0.28
"35",1252651,"2004-JUL-17",0,0,0,0,0,0,0
"36",1252651,"2014-AUG-08",1,0,0,0,0,0,0
"37",1252671,"2004-JUL-18",0,0.68,0.99,0.51,0.45,0.65,0.31
"38",1252671,"2014-AUG-09",1,0.69,0.99,0.46,0.44,0.63,0.31
"39",1252691,"2003-AUG-29",0,1.28,0.8,1.06,0.25,0.35,0.37
"40",1252691,"2015-AUG-31",1,1.27,0.79,1.08,0,0,0
"41",1252701,"2003-SEP-12",0,0.6,0.87,0.27,0,0,0
"42",1252701,"2009-AUG-27",1,0.66,0.6,0.5,0,0,0
"43",1252701,"2018-JUL-25",2,0.75,0.68,0.55,0.69,1,1.44
"44",1252711,"2003-SEP-25",0,0,0,0,0.69,1,0.32
"45",1252711,"2013-SEP-01",1,0.23,0.21,0.46,0.45,0.65,0.56
"46",1252721,"2003-SEP-24",0,0.77,0.7,0.5,0,0,0
"47",1252721,"2009-AUG-30",1,0.95,0.87,0.44,0,0,0
"48",1252721,"2018-JUL-24",2,0,0,0,0,0,0
"49",1252761,"2004-SEP-26",0,0.68,0.98,0.34,0.13,0.19,0.28
"50",1252761,"2017-OCT-07",1,0.68,0.98,0.34,0.2,0.28,0.27
"51",1266391,"2004-JUL-30",0,1.02,0.74,0.86,0.19,0.17,0.41
"52",1266391,"2012-AUG-06",1,1.01,0.73,0.87,0.69,1,1.44
"53",1266411,"2004-JUL-29",0,0,0,0,0.86,0.78,0.55
"54",1266411,"2012-AUG-05",1,0.67,0.97,0.62,0.67,0.97,0.27
"55",1266441,"2006-SEP-09",0,0.15,0.21,0.29,0,0,0
"56",1266441,"2016-SEP-04",1,0.12,0.17,0.27,0,0,0
"57",1266451,"2006-SEP-10",0,0.13,0.19,0.29,0,0,0
"58",1266451,"2015-SEP-01",1,0.13,0.19,0.28,0,0,0
"59",1266461,"2006-SEP-20",0,0.26,0.37,0.38,1.1,0.79,1.14
"60",1266461,"2015-AUG-30",1,0.26,0.37,0.3,0.74,0.67,0.96
"61",1266471,"2004-SEP-15",0,0.68,0.98,0.32,0,0,0
"62",1266471,"2009-AUG-28",1,0.58,0.83,0.34,0,0,0
"63",1266471,"2018-JUL-23",2,0.34,0.48,0.34,0,0,0
"64",1266481,"2003-SEP-08",0,1.21,0.87,0.84,0.61,0.56,0.54
"65",1266481,"2013-AUG-31",1,1.19,0.86,0.84,0.55,0.5,0.55
"66",1266491,"2003-AUG-23",0,0,0,0,0.29,0.41,0.4
"67",1266491,"2009-AUG-31",1,0,0,0,0.09,0.12,0.25
"68",1266491,"2019-AUG-25",2,0,0,0,0.29,0.26,0.49
"69",1266501,"2017-OCT-06",0,1.04,0.95,1.44,0,0,0
"70",1266511,"2004-SEP-24",0,0.65,0.59,0.54,0,0,0
"71",1266511,"2017-OCT-05",1,0.93,0.67,0.84,0,0,0
"72",1280161,"2004-SEP-29",0,0.88,0.8,0.58,0.72,0.66,0.8
"73",1280161,"2012-AUG-08",1,0.97,0.7,0.75,0.69,1,0.72
"74",1280171,"2004-JUL-30",0,0.92,0.83,0.83,0,0,0
"75",1280171,"2014-AUG-07",1,0,0,0,0,0,0
"76",1280181,"2004-JUL-20",0,0,0,0,0,0,0
"77",1280191,"2004-JUL-29",0,0.54,0.49,0.78,0.4,0.58,0.3
"78",1280191,"2016-SEP-05",1,0.86,0.62,0.97,0,0,0
"79",1280201,"2004-JUL-21",0,0.55,0.79,0.35,0.45,0.65,0.4
"80",1280201,"2011-JUL-13",1,0.64,0.92,0.35,0.41,0.59,0.38
"81",1280211,"2006-SEP-10",0,0.43,0.61,0.29,0.96,0.87,1.03
"82",1280211,"2015-SEP-02",1,0.61,0.88,0.29,0.61,0.88,0.43
"83",1280241,"2004-SEP-28",0,0,0,0,0.17,0.25,0.21
"84",1280241,"2009-AUG-31",1,0,0,0,0.6,0.55,0.83
"85",1280241,"2019-AUG-24",2,0,0,0,0.56,0.81,0.72
"86",1280261,"2003-AUG-25",0,1.04,0.95,0.96,0.73,0.67,0.69
"87",1280261,"2015-AUG-29",1,0,0,0,0,0,0
"88",1280271,"2004-SEP-25",0,0.93,0.84,0.64,0.36,0.51,0.31
"89",1280271,"2013-AUG-30",1,0.94,0.86,0.67,0.57,0.83,0.3
"90",1293921,"2006-SEP-18",0,0.82,0.75,0.6,0.64,0.92,0.46
"91",1293921,"2014-AUG-06",1,0.82,0.75,0.6,0,0,0
"92",1293931,"2004-JUL-19",0,0.97,0.88,0.47,0.25,0.35,0.37
"93",1293931,"2012-AUG-04",1,0.86,0.79,0.46,0.38,0.54,0.48
"94",1294021,"2003-SEP-04",0,0.56,0.81,0.36,0.41,0.59,0.51
"95",1294021,"2013-AUG-28",1,0.56,0.81,0.72,0,0,0
"96",1294041,"2004-SEP-26",0,0.69,1,0.43,1.65,0.85,1.82
"97",1294041,"2013-AUG-29",1,0.5,0.72,0.62,0.8,0.73,1.03
"98",1294051,"2004-SEP-25",0,0,0,0,0.31,0.45,0.33
"99",1294051,"2017-OCT-04",1,0.5,0.45,0.53,0.56,0.81,0.72
"100",1307731,"2003-SEP-30",0,0.19,0.28,0.33,0.39,0.36,0.67
"101",1307731,"2015-AUG-28",1,0.22,0.31,0.28,0,0,0
"102",1321581,"2003-SEP-05",0,0.87,0.8,0.71,0.72,0.66,0.52
"103",1321581,"2013-AUG-26",1,0.8,0.73,0.87,0,0,0
