"","nfi_plot","meas_date","biomass_total","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","utm_n","utm_e","percent/100","percent/100 * biomass_total"
"1",1108316,"2004-JUL-11",268.54,0,0,1,"PICE","MAR","",100,1,6270000,600000,1,268.54
"2",1108316,"2015-AUG-09",424.36,0,1,1,"PICE","MAR","",100,1,6270000,600000,1,424.36
"3",1115226,"2004-JUL-08",526.51,0,0,1,"PICE","MAR","",100,1,6210000,330000,1,526.51
"4",1115226,"2010-JUN-27",627.15,0,1,1,"PICE","MAR","",100,1,6210000,330000,1,627.15
"5",1128906,"2004-JUL-23",82.63,0,0,1,"PICE","MAR","",100,1,6290000,390000,1,82.63
"6",1128906,"2010-JUL-11",166.39,0,1,1,"PICE","MAR","",100,1,6290000,390000,1,166.39
"7",1128926,"2004-JUL-11",7487.52,0,0,2,"PINU","BAN","",2.5,0.009,6260000,470000,0.025,187.188
"8",1128926,"2004-JUL-11",7487.52,0,0,1,"PICE","MAR","",97.5,0.991,6260000,470000,0.975,7300.332
"9",1128926,"2010-JUL-08",8414.27,0,1,1,"PICE","MAR","",97.5,0.991,6260000,470000,0.975,8203.91325
"10",1128926,"2010-JUL-08",8414.27,0,1,2,"PINU","BAN","",2.5,0.009,6260000,470000,0.025,210.35675
"11",1128941,"2003-JUL-06",24.16,0,0,1,"PICE","MAR","",100,1,6240000,520000,1,24.16
"12",1135826,"2003-JUL-01",4558.58,0,0,3,"PINU","BAN","",3.8,0.025,6210000,530000,0.038,173.22604
"13",1135826,"2003-JUL-01",4558.58,0,0,2,"POPU","TRE","",15.4,0.19,6210000,530000,0.154,702.02132
"14",1135826,"2003-JUL-01",4558.58,0,0,1,"PICE","MAR","",78.6,0.759,6210000,530000,0.786,3583.04388
"15",1135826,"2003-JUL-01",4558.58,0,0,4,"POPU","BAL","",2.2,0.025,6210000,530000,0.022,100.28876
"16",1135826,"2010-JUN-23",4860.53,0,1,4,"PINU","BAN","",2.1,0.013,6210000,530000,0.021,102.07113
"17",1135826,"2010-JUN-23",4860.53,0,1,1,"PICE","MAR","",78.1,0.753,6210000,530000,0.781,3796.07393
"18",1135826,"2010-JUN-23",4860.53,0,1,3,"POPU","BAL","",3,0.039,6210000,530000,0.03,145.8159
"19",1135826,"2010-JUN-23",4860.53,0,1,2,"POPU","TRE","",16.9,0.195,6210000,530000,0.169,821.42957
"20",1142656,"2004-JUL-22",2637.87,0,0,1,"PICE","MAR","",72.5,0.757,6270000,340000,0.725,1912.45575
"21",1142656,"2004-JUL-22",2637.87,0,0,2,"PINU","BAN","",27.5,0.243,6270000,340000,0.275,725.41425
"22",1142656,"2010-JUL-10",2899.76,0,1,2,"PINU","BAN","",22.8,0.189,6270000,340000,0.228,661.14528
"23",1142656,"2010-JUL-10",2899.76,0,1,1,"PICE","MAR","",77.2,0.811,6270000,340000,0.772,2238.61472
"24",1149546,"2004-JUL-22",4147.31,0,0,1,"PICE","MAR","",98.5,0.983,6240000,370000,0.985,4085.10035
"25",1149546,"2004-JUL-22",4147.31,0,0,2,"PINU","BAN","",1.5,0.017,6240000,370000,0.015,62.20965
"26",1149546,"2015-AUG-19",3243.83,0,1,1,"PICE","MAR","",98,0.978,6240000,370000,0.98,3178.9534
"27",1149546,"2015-AUG-19",3243.83,0,1,2,"PINU","BAN","",2,0.022,6240000,370000,0.02,64.8766
"28",1149626,"2004-JUL-09",1317.62,0,0,2,"PINU","BAN","",45.3,0.417,6120000,670000,0.453,596.88186
"29",1149626,"2004-JUL-09",1317.62,0,0,1,"PICE","MAR","",54.7,0.583,6120000,670000,0.547,720.73814
"30",1149626,"2017-JUN-20",2047.29,0,1,1,"PICE","MAR","",84.3,0.862,6120000,670000,0.843,1725.86547
"31",1149626,"2017-JUN-20",2047.29,0,1,2,"PINU","BAN","",15.7,0.138,6120000,670000,0.157,321.42453
"32",1156421,"2004-JUN-23",413.36,0,0,1,"PINU","BAN","",100,1,6230000,350000,1,413.36
"33",1156421,"2015-JUN-25",155.84,0,1,1,"PINU","BAN","",87.1,0.75,6230000,350000,0.871,135.73664
"34",1156421,"2015-JUN-25",155.84,0,1,2,"PICE","MAR","",12.9,0.25,6230000,350000,0.129,20.10336
"35",1156461,"2003-AUG-18",3242.61,0,0,1,"POPU","TRE","",58.6,0.486,6170000,490000,0.586,1900.16946
"36",1156461,"2003-AUG-18",3242.61,0,0,3,"POPU","BAL","",7.9,0.108,6170000,490000,0.079,256.16619
"37",1156461,"2003-AUG-18",3242.61,0,0,2,"PICE","MAR","",32.3,0.392,6170000,490000,0.323,1047.36303
"38",1156461,"2003-AUG-18",3242.61,0,0,4,"BETU","PAP","",1.2,0.014,6170000,490000,0.012,38.91132
"39",1156461,"2016-AUG-26",5166.43,0,1,3,"POPU","BAL","",5.7,0.073,6170000,490000,0.057,294.48651
"40",1156461,"2016-AUG-26",5166.43,0,1,4,"BETU","PAP","PAP",0.9,0.009,6170000,490000,0.009,46.49787
"41",1156501,"2003-JUL-01",3850.93,0,0,2,"PINU","BAN","",17,0.132,6110000,640000,0.17,654.6581
"42",1156501,"2003-JUL-01",3850.93,0,0,1,"PICE","MAR","",83,0.868,6110000,640000,0.83,3196.2719
"43",1156501,"2017-JUN-12",5565.96,0,1,1,"PICE","MAR","",86.9,0.906,6110000,640000,0.869,4836.81924
"44",1156501,"2017-JUN-12",5565.96,0,1,2,"PINU","BAN","",13.1,0.094,6110000,640000,0.131,729.14076
"45",1170181,"2004-JUL-21",2394.75,0,0,1,"PICE","MAR","",100,1,6190000,330000,1,2394.75
"46",1170181,"2016-AUG-15",3689.41,0,1,1,"PICE","MAR","",100,1,6190000,330000,1,3689.41
"47",1170231,"2003-AUG-17",198.1,0,0,2,"PICE","MAR","",12.8,0.111,6110000,520000,0.128,25.3568
"48",1170231,"2003-AUG-17",198.1,0,0,1,"PINU","BAN","",87.2,0.889,6110000,520000,0.872,172.7432
"49",1170231,"2017-JUL-05",361.77,0,1,1,"PINU","BAN","",86.4,0.875,6110000,520000,0.864,312.56928
"50",1170231,"2017-JUL-05",361.77,0,1,2,"PICE","MAR","",13.6,0.125,6110000,520000,0.136,49.20072
"51",1170251,"2003-AUG-12",8060.2,0,0,1,"PICE","MAR","",80.8,0.915,6080000,590000,0.808,6512.6416
"52",1170251,"2003-AUG-12",8060.2,0,0,3,"BETU","PAP","PAP",0.7,0.021,6080000,590000,0.007,56.4214
"53",1170251,"2003-AUG-12",8060.2,0,0,2,"PICE","GLA","",18.5,0.064,6080000,590000,0.185,1491.137
"54",1170251,"2017-JUL-06",6140.92,0,1,1,"PICE","MAR","",68,0.893,6080000,510000,0.68,4175.8256
"55",1170251,"2017-JUL-06",6140.92,0,1,2,"PICE","GLA","",32,0.107,6080000,510000,0.32,1965.0944
"56",1177066,"2004-JUN-22",1307.25,0,0,1,"POPU","TRE","",100,1,6160000,340000,1,1307.25
"57",1177066,"2016-AUG-14",660.18,0,1,1,"POPU","TRE","",100,1,6160000,340000,1,660.18
"58",1177121,"2003-AUG-14",4817.16,0,0,2,"PINU","BAN","",33.6,0.306,6080000,550000,0.336,1618.56576
"59",1177121,"2003-AUG-14",4817.16,0,0,3,"POPU","TRE","",2.5,0.03,6080000,550000,0.025,120.429
"60",1177121,"2003-AUG-14",4817.16,0,0,1,"PICE","MAR","",63.8,0.664,6080000,550000,0.638,3073.34808
"61",1183991,"2003-AUG-13",906.83,0,0,1,"PICE","MAR","",55,0.72,6080000,500000,0.55,498.7565
"62",1183991,"2003-AUG-13",906.83,0,0,4,"POPU","TRE","",3.1,0.04,6080000,500000,0.031,28.11173
"63",1183991,"2017-JUN-13",2116.91,0,1,1,"PICE","MAR","",72.2,0.844,6080000,500000,0.722,1528.40902
"64",1183991,"2017-JUN-13",2116.91,0,1,2,"POPU","BAL","",18.2,0.078,6080000,500000,0.182,385.27762
"65",1190916,"2004-JUN-12",193.23,0,0,3,"PICE","MAR","",25.2,0.25,5990000,660000,0.252,48.69396
"66",1190916,"2004-JUN-12",193.23,0,0,1,"PINU","BAN","",49.7,0.5,5990000,660000,0.497,96.03531
"67",1190916,"2004-JUN-12",193.23,0,0,2,"LARI","LAR","",25.2,0.25,5990000,660000,0.252,48.69396
"68",1190916,"2017-JUL-10",193.85,0,1,2,"PICE","MAR","",41.9,0.5,5990000,660000,0.419,81.22315
"69",1190916,"2017-JUL-10",193.85,0,1,1,"LARI","LAR","",58.1,0.5,5990000,660000,0.581,112.62685
"70",1197741,"2003-JUN-17",3730.28,0,0,1,"LARI","LAR","",78.7,0.79,6060000,450000,0.787,2935.73036
"71",1197741,"2003-JUN-17",3730.28,0,0,2,"PICE","MAR","",21.3,0.21,6060000,450000,0.213,794.54964
"72",1197741,"2016-AUG-24",5264.01,0,1,2,"PICE","MAR","",15.5,0.154,6060000,450000,0.155,815.92155
"73",1197741,"2016-AUG-24",5264.01,0,1,1,"LARI","LAR","",84.5,0.846,6060000,450000,0.845,4448.08845
"74",1197751,"2003-JUN-23",259.18,0,0,1,"LARI","LAR","",79.5,0.75,6040000,490000,0.795,206.0481
"75",1197751,"2003-JUN-23",259.18,0,0,2,"PICE","MAR","",20.5,0.25,6040000,490000,0.205,53.1319
"76",1197751,"2016-AUG-12",156.43,0,1,1,"LARI","LAR","",83.4,0.8,6040000,490000,0.834,130.46262
"77",1197751,"2016-AUG-12",156.43,0,1,2,"PICE","MAR","",16.6,0.2,6040000,490000,0.166,25.96738
"78",1197761,"2003-AUG-17",4053.8,0,0,1,"PICE","MAR","",100,1,6030000,520000,1,4053.8
"79",1197761,"2017-JUL-09",5016.95,0,1,1,"PICE","MAR","",100,1,6030000,520000,1,5016.95
"80",1197766,"2003-JUL-15",4140.63,0,0,3,"BETU","PAP","PAP",8.5,0.105,6020000,540000,0.085,351.95355
"81",1197766,"2003-JUL-15",4140.63,0,0,2,"PICE","MAR","",40.9,0.329,6020000,540000,0.409,1693.51767
"82",1197766,"2003-JUL-15",4140.63,0,0,1,"LARI","LAR","",50.6,0.566,6020000,540000,0.506,2095.15878
"83",1204606,"2003-AUG-26",1258.7,0,0,2,"PINU","BAN","",35,0.2,6060000,390000,0.35,440.545
"84",1204606,"2003-AUG-26",1258.7,0,0,1,"PICE","MAR","",65,0.8,6060000,390000,0.65,818.155
"85",1204606,"2016-AUG-11",1879.32,0,1,1,"PICE","MAR","",62.7,0.818,6060000,390000,0.627,1178.33364
"86",1204606,"2016-AUG-11",1879.32,0,1,2,"PINU","BAN","",37.3,0.182,6060000,390000,0.373,700.98636
"87",1211511,"2004-JUN-13",97.7,0,0,1,"PICE","MAR","",100,1,6000000,470000,1,97.7
"88",1211511,"2016-AUG-09",257.3,0,1,2,"POPU","BAL","",22.3,0.231,6000000,470000,0.223,57.3779
"89",1211511,"2016-AUG-09",257.3,0,1,1,"PICE","MAR","",77.7,0.769,6000000,470000,0.777,199.9221
"90",1211561,"2004-JUN-12",24.3,0,0,1,"PICE","MAR","",100,1,5930000,660000,1,24.3
"91",1211561,"2017-JUL-11",17.86,0,1,1,"PICE","MAR","",100,1,5930000,660000,1,17.86
"92",1218376,"2003-AUG-28",2630.99,0,0,2,"LARI","LAR","",17.3,0.129,6010000,410000,0.173,455.16127
"93",1218376,"2003-AUG-28",2630.99,0,0,1,"PICE","MAR","",82.7,0.871,6010000,410000,0.827,2175.82873
"94",1218376,"2016-AUG-10",3292.13,0,1,1,"PICE","MAR","",81.9,0.885,6010000,410000,0.819,2696.25447
"95",1218376,"2016-AUG-10",3292.13,0,1,2,"LARI","LAR","",18.1,0.115,6010000,410000,0.181,595.87553
"96",1218396,"2004-JUN-09",7302.14,0,0,2,"POPU","TRE","",12.9,0.069,5980000,480000,0.129,941.97606
"97",1218396,"2004-JUN-09",7302.14,0,0,1,"PICE","MAR","",87.1,0.931,5980000,480000,0.871,6360.16394
"98",1225241,"2003-JUN-20",2350.2,0,0,1,"PICE","MAR","",74.3,0.865,6010000,340000,0.743,1746.1986
"99",1225241,"2003-JUN-20",2350.2,0,0,2,"POPU","TRE","",25.7,0.135,6010000,340000,0.257,604.0014
"100",1232216,"2003-AUG-27",1076.02,0,0,1,"PICE","MAR","",84.7,0.875,5850000,690000,0.847,911.38894
"101",1232216,"2003-AUG-27",1076.02,0,0,2,"LARI","LAR","",15.3,0.125,5850000,690000,0.153,164.63106
"102",1239011,"2003-AUG-30",4446.43,0,0,2,"SALI","SPP","",4.6,0.095,5960000,370000,0.046,204.53578
"103",1239011,"2003-AUG-30",4446.43,0,0,3,"ALNU","SPP","",0.7,0.048,5960000,370000,0.007,31.12501
"104",1239011,"2003-AUG-30",4446.43,0,0,1,"POPU","BAL","",94.7,0.857,5960000,370000,0.947,4210.76921
"105",1239011,"2013-SEP-05",5712.97,0,1,5,"ALNU","RUG","",1.2,0.051,5960000,370000,0.012,68.55564
"106",1239011,"2013-SEP-05",5712.97,0,1,6,"BETU","PAP","",0.8,0.026,5960000,370000,0.008,45.70376
"107",1239011,"2013-SEP-05",5712.97,0,1,2,"POPU","TRE","",6.2,0.154,5960000,370000,0.062,354.20414
"108",1239011,"2013-SEP-05",5712.97,0,1,1,"POPU","BAL","",83.3,0.615,5960000,370000,0.833,4758.90401
"109",1245881,"2003-AUG-29",4249.86,0,0,1,"POPU","TRE","",69.6,0.558,5960000,320000,0.696,2957.90256
"110",1245881,"2003-AUG-29",4249.86,0,0,3,"BETU","PAP","PAP",2.3,0.038,5960000,320000,0.023,97.74678
"111",1245881,"2003-AUG-29",4249.86,0,0,2,"PICE","GLA","",25.4,0.365,5960000,320000,0.254,1079.46444
"112",1245881,"2012-AUG-28",4994.46,0,1,2,"PICE","GLA","",32.8,0.357,5960000,320000,0.328,1638.18288
"113",1245881,"2012-AUG-28",4994.46,0,1,1,"POPU","TRE","",57.3,0.446,5960000,320000,0.573,2861.82558
"114",1245881,"2012-AUG-28",4994.46,0,1,5,"PICE","MAR","",1.7,0.036,5960000,320000,0.017,84.90582
"115",1245881,"2012-AUG-28",4994.46,0,1,3,"BETU","PAP","",4.2,0.089,5960000,320000,0.042,209.76732
"116",1245881,"2012-AUG-28",4994.46,0,1,4,"POPU","BAL","",3.9,0.071,5960000,320000,0.039,194.78394
"117",1252776,"2003-AUG-26",112.46,0,0,1,"PICE","MAR","",71,0.667,5910000,370000,0.71,79.8466
"118",1252776,"2003-AUG-26",112.46,0,0,2,"LARI","LAR","",29,0.333,5910000,370000,0.29,32.6134
"119",1252776,"2018-AUG-22",90.62,0,1,1,"LARI","LAR","",55.1,0.5,5910000,370000,0.551,49.93162
"120",1252776,"2018-AUG-22",90.62,0,1,2,"PICE","MAR","",44.9,0.5,5910000,370000,0.449,40.68838
