"","nfi_plot","meas_date","smtree_biomass","...1","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","utm_n","utm_e","smtree_percent/100","smtree_percent/100 * smtree_biomass"
"1",1101411,"2004-JUL-25",50.1891,1,0,0,1,"SALI","SPP",NA,99,0.933,6330000,520000,0.99,49.687209
"2",1101411,"2016-AUG-30",12.6669,3,0,1,2,"BETU","PAP","PAP",7,0.036,6330000,520000,0.07,0.886683
"3",1101411,"2016-AUG-30",12.6669,2,0,1,1,"PICE","MAR",NA,93,0.964,6330000,520000,0.93,11.780217
"4",1108316,"2004-JUL-11",181.9258,4,0,0,1,"PICE","MAR",NA,100,1,6270000,6e+05,1,181.9258
"5",1108316,"2015-AUG-09",96.1374,5,0,1,1,"PICE","MAR",NA,100,1,6270000,6e+05,1,96.1374
"6",1108326,"2004-JUL-10",126.1484,6,0,0,1,"PICE","MAR",NA,97,0.883,6260000,640000,0.97,122.363948
"7",1108326,"2004-JUL-10",126.1484,8,0,0,3,"POPU","TRE",NA,1,0.032,6260000,640000,0.01,1.261484
"8",1108326,"2004-JUL-10",126.1484,7,0,0,2,"SALI","SCO",NA,2,0.085,6260000,640000,0.02,2.522968
"9",1108326,"2015-AUG-08",180.4876,10,0,1,2,"POPU","TRE",NA,1,0.022,6260000,640000,0.01,1.804876
"10",1108326,"2015-AUG-08",180.4876,9,0,1,1,"PICE","MAR",NA,99,0.978,6260000,640000,0.99,178.682724
"11",1115226,"2004-JUL-08",154.3412,11,0,0,1,"PICE","MAR",NA,100,1,6210000,330000,1,154.3412
"12",1115226,"2010-JUN-27",146.878,12,0,1,1,"PICE","MAR",NA,100,1,6210000,330000,1,146.878
"13",1128906,"2004-JUL-23",73.0067,13,0,0,1,"PICE","MAR",NA,100,1,6290000,390000,1,73.0067
"14",1128906,"2010-JUL-11",76.3221,14,0,1,1,"PICE","MAR",NA,100,1,6290000,390000,1,76.3221
"15",1128941,"2003-JUL-06",162.9253,15,0,0,1,"PICE","MAR",NA,100,1,6240000,520000,1,162.9253
"16",1128956,"2003-JUL-04",13.6239,20,0,0,4,"POPU","TRE",NA,5,0.083,6220000,580000,0.05,0.681195
"17",1128956,"2003-JUL-04",13.6239,19,0,0,3,"PINU","BAN",NA,17,0.083,6220000,580000,0.17,2.316063
"18",1128956,"2003-JUL-04",13.6239,17,0,0,1,"PICE","MAR",NA,57,0.75,6220000,580000,0.57,7.765623
"19",1128956,"2003-JUL-04",13.6239,18,0,0,2,"LARI","LAR",NA,22,0.083,6220000,580000,0.22,2.997258
"20",1128956,"2010-JUN-25",18.7418,21,0,1,1,"PICE","MAR",NA,55,0.824,6220000,580000,0.55,10.30799
"21",1128956,"2010-JUN-25",18.7418,24,0,1,4,"POPU","TRE",NA,2,0.059,6220000,580000,0.02,0.374836
"22",1128956,"2010-JUN-25",18.7418,22,0,1,2,"LARI","LAR",NA,25,0.059,6220000,580000,0.25,4.68545
"23",1128956,"2010-JUN-25",18.7418,23,0,1,3,"PINU","BAN",NA,18,0.059,6220000,580000,0.18,3.373524
"24",1128976,"2004-JUL-08",23.4297,25,0,0,1,"LARI","LAR",NA,65,0.483,6190000,650000,0.65,15.229305
"25",1128976,"2010-JUN-26",24.8527,27,0,1,2,"PICE","MAR",NA,26,0.25,6190000,650000,0.26,6.461702
"26",1128976,"2010-JUN-26",24.8527,26,0,1,1,"LARI","LAR",NA,74,0.75,6190000,650000,0.74,18.390998
"27",1135821,"2003-JUL-06",135.1061,28,0,0,1,"PICE","MAR",NA,96,0.727,6220000,520000,0.96,129.701856
"28",1135821,"2003-JUL-06",135.1061,29,0,0,2,"LARI","LAR",NA,4,0.273,6220000,520000,0.04,5.404244
"29",1135821,"2016-AUG-27",61.7267,30,0,1,1,"PINU","BAN",NA,100,1,6220000,520000,1,61.7267
"30",1135826,"2003-JUL-01",34.3483,31,0,0,1,"PICE","MAR",NA,100,1,6210000,530000,1,34.3483
"31",1135876,"2003-AUG-16",16.0488,34,0,0,2,"BETU","PAP",NA,12,0.065,6140000,340000,0.12,1.925856
"32",1135876,"2003-AUG-16",16.0488,33,0,0,1,"PICE","MAR",NA,88,0.935,6140000,340000,0.88,14.122944
"33",1135876,"2017-JUN-08",25.0011,35,0,1,1,"PICE","MAR",NA,98,0.875,6140000,720000,0.98,24.501078
"34",1135876,"2017-JUN-08",25.0011,36,0,1,2,"BETU","PAP","PAP",2,0.125,6140000,720000,0.02,0.500022
"35",1142656,"2004-JUL-22",88.9946,37,0,0,1,"PICE","MAR",NA,100,1,6270000,340000,1,88.9946
"36",1142656,"2010-JUL-10",71.2382,38,0,1,1,"PICE","MAR",NA,100,1,6270000,340000,1,71.2382
"37",1149546,"2004-JUL-22",54.062,39,0,0,1,"PICE","MAR",NA,100,1,6240000,370000,1,54.062
"38",1149546,"2015-AUG-19",53.7581,40,0,1,1,"PICE","MAR",NA,100,1,6240000,370000,1,53.7581
"39",1149556,"2004-JUL-24",179.55,41,0,0,1,"PICE","MAR",NA,96,0.903,6220000,410000,0.96,172.368
"40",1149556,"2004-JUL-24",179.55,42,0,0,2,"SALI","SPP",NA,4,0.097,6220000,410000,0.04,7.182
"41",1149556,"2015-AUG-20",166.4909,43,0,1,1,"PICE","MAR",NA,100,1,6220000,410000,1,166.4909
"42",1149626,"2004-JUL-09",103.9731,44,0,0,1,"PICE","MAR",NA,94,0.889,6120000,670000,0.94,97.734714
"43",1149626,"2017-JUN-20",87.9456,45,0,1,1,"PICE","MAR",NA,100,1,6120000,670000,1,87.9456
"44",1149636,"2003-JUL-18",24.9978,46,0,0,1,"PICE","MAR",NA,100,1,6100000,320000,1,24.9978
"45",1149636,"2017-JUN-09",55.1245,47,0,1,1,"PICE","MAR",NA,100,1,6100000,710000,1,55.1245
"46",1156421,"2004-JUN-23",54.0946,48,0,0,1,"PICE","MAR",NA,99,0.857,6230000,350000,0.99,53.553654
"47",1156421,"2004-JUN-23",54.0946,49,0,0,2,"SALI","SPP",NA,1,0.143,6230000,350000,0.01,0.540946
"48",1156421,"2015-JUN-25",28.8261,50,0,1,1,"PICE","MAR",NA,99,0.714,6230000,350000,0.99,28.537839
"49",1156461,"2003-AUG-18",154.5702,52,0,0,2,"POPU","TRE",NA,44,0.217,6170000,490000,0.44,68.010888
"50",1156461,"2003-AUG-18",154.5702,51,0,0,1,"PICE","MAR",NA,53,0.739,6170000,490000,0.53,81.922206
"51",1156461,"2003-AUG-18",154.5702,53,0,0,3,"POPU","BAL",NA,3,0.043,6170000,490000,0.03,4.637106
"52",1156461,"2016-AUG-26",129.8105,55,0,1,2,"POPU","TRE",NA,13,0.143,6170000,490000,0.13,16.875365
"53",1156461,"2016-AUG-26",129.8105,54,0,1,1,"PICE","MAR",NA,88,0.857,6170000,490000,0.88,114.23324
"54",1156501,"2003-JUL-01",370.0011,56,0,0,1,"PICE","MAR",NA,100,1,6110000,640000,1,370.0011
"55",1156501,"2017-JUN-12",256.5857,57,0,1,1,"PICE","MAR",NA,100,1,6110000,640000,1,256.5857
"56",1170231,"2003-AUG-17",106.1861,58,0,0,1,"PINU","BAN",NA,100,0.958,6110000,520000,1,106.1861
"57",1170231,"2003-AUG-17",106.1861,59,0,0,2,"PICE","MAR",NA,0,0.042,6110000,520000,0,0
"58",1170231,"2017-JUL-05",95.9873,60,0,1,1,"PINU","BAN",NA,98,0.933,6110000,520000,0.98,94.067554
"59",1170231,"2017-JUL-05",95.9873,61,0,1,2,"PICE","MAR",NA,3,0.067,6110000,520000,0.03,2.879619
"60",1177066,"2004-JUN-22",66.6013,64,0,0,3,"ALNU","CRI",NA,3,0.258,6160000,340000,0.03,1.998039
"61",1177066,"2004-JUN-22",66.6013,62,0,0,1,"POPU","TRE",NA,68,0.404,6160000,340000,0.68,45.288884
"62",1177066,"2004-JUN-22",66.6013,63,0,0,2,"BETU","PAP",NA,26,0.281,6160000,340000,0.26,17.316338
"63",1177066,"2004-JUN-22",66.6013,66,0,0,5,"SALI","SPP",NA,1,0.022,6160000,340000,0.01,0.666013
"64",1177066,"2004-JUN-22",66.6013,65,0,0,4,"PINU","BAN",NA,1,0.034,6160000,340000,0.01,0.666013
"65",1177066,"2016-AUG-14",180.1377,69,0,1,3,"PINU","BAN",NA,1,0.051,6160000,340000,0.01,1.801377
"66",1177066,"2016-AUG-14",180.1377,67,0,1,1,"POPU","TRE",NA,82,0.615,6160000,340000,0.82,147.712914
"67",1177066,"2016-AUG-14",180.1377,68,0,1,2,"BETU","PAP","PAP",17,0.333,6160000,340000,0.17,30.623409
"68",1177071,"2004-JUN-22",16.1088,70,0,0,1,"PINU","BAN",NA,85,0.905,6160000,360000,0.85,13.69248
"69",1177071,"2004-JUN-22",16.1088,72,0,0,3,"SALI","SPP",NA,3,0.024,6160000,360000,0.03,0.483264
"70",1177071,"2004-JUN-22",16.1088,71,0,0,2,"ALNU","CRI",NA,13,0.071,6160000,360000,0.13,2.094144
"71",1177071,"2015-AUG-22",31.123,73,0,1,1,"PINU","BAN",NA,95,0.864,6160000,360000,0.95,29.56685
"72",1177121,"2003-AUG-14",380.8505,74,0,0,1,"PICE","MAR",NA,95,0.979,6080000,550000,0.95,361.807975
"73",1177121,"2003-AUG-14",380.8505,75,0,0,2,"PINU","BAN",NA,5,0.021,6080000,550000,0.05,19.042525
"74",1177121,"2012-AUG-22",287.4014,76,0,1,1,"PICE","MAR",NA,94,0.971,6080000,550000,0.94,270.157316
"75",1177121,"2012-AUG-22",287.4014,77,0,1,2,"PINU","BAN",NA,6,0.029,6080000,550000,0.06,17.244084
"76",1177126,"2003-AUG-15",114.6223,78,0,0,1,"POPU","TRE",NA,100,0.983,6070000,560000,1,114.6223
"77",1177126,"2003-AUG-15",114.6223,79,0,0,2,"PICE","GLA",NA,0,0.017,6070000,560000,0,0
"78",1177126,"2017-JUL-07",187.6172,82,0,1,3,"ABIE","BAL",NA,0,0.029,6070000,560000,0,0
"79",1177126,"2017-JUL-07",187.6172,81,0,1,2,"PICE","GLA",NA,5,0.143,6070000,560000,0.05,9.38086
"80",1177126,"2017-JUL-07",187.6172,80,0,1,1,"POPU","TRE",NA,95,0.829,6070000,560000,0.95,178.23634
"81",1183951,"2003-AUG-30",3.0994,83,0,0,1,"PICE","MAR",NA,100,1,6140000,350000,1,3.0994
"82",1183951,"2016-AUG-16",4.7155,84,0,1,1,"PICE","MAR",NA,100,1,6140000,350000,1,4.7155
"83",1183991,"2003-AUG-13",365.6641,85,0,0,1,"PICE","MAR",NA,94,0.971,6080000,5e+05,0.94,343.724254
"84",1183991,"2017-JUN-13",320.6555,87,0,1,2,"POPU","TRE",NA,0,0.011,6080000,5e+05,0,0
"85",1183991,"2017-JUN-13",320.6555,86,0,1,1,"PICE","MAR",NA,100,0.989,6080000,5e+05,1,320.6555
"86",1190916,"2004-JUN-12",201.1438,88,0,0,1,"PICE","MAR",NA,98,0.553,5990000,660000,0.98,197.120924
"87",1190916,"2004-JUN-12",201.1438,89,0,0,2,"SALI","SPP",NA,1,0.213,5990000,660000,0.01,2.011438
"88",1190916,"2017-JUL-10",131.136,91,0,1,2,"BETU","PAP",NA,7,0.182,5990000,660000,0.07,9.17952
"89",1190916,"2017-JUL-10",131.136,90,0,1,1,"PICE","MAR",NA,93,0.818,5990000,660000,0.93,121.95648
"90",1197741,"2003-JUN-17",131.496,92,0,0,1,"LARI","LAR",NA,77,0.692,6060000,450000,0.77,101.25192
"91",1197741,"2003-JUN-17",131.496,93,0,0,2,"PICE","MAR",NA,23,0.308,6060000,450000,0.23,30.24408
"92",1197741,"2016-AUG-24",109.6385,95,0,1,2,"PICE","MAR",NA,12,0.273,6060000,450000,0.12,13.15662
"93",1197741,"2016-AUG-24",109.6385,94,0,1,1,"LARI","LAR",NA,88,0.727,6060000,450000,0.88,96.48188
"94",1197761,"2003-AUG-17",57.4707,96,0,0,1,"PICE","MAR",NA,100,0.857,6030000,520000,1,57.4707
"95",1197761,"2003-AUG-17",57.4707,97,0,0,2,"ABIE","BAL",NA,0,0.143,6030000,520000,0,0
"96",1197761,"2017-JUL-09",15.7398,98,0,1,1,"PICE","MAR",NA,96,0.8,6030000,520000,0.96,15.110208
"97",1197761,"2017-JUL-09",15.7398,99,0,1,2,"ABIE","BAL",NA,4,0.2,6030000,520000,0.04,0.629592
"98",1197766,"2003-JUL-15",120.3696,100,0,0,1,"LARI","LAR",NA,68,0.545,6020000,540000,0.68,81.851328
"99",1197766,"2003-JUL-15",120.3696,101,0,0,2,"PICE","MAR",NA,19,0.364,6020000,540000,0.19,22.870224
"100",1197766,"2003-JUL-15",120.3696,102,0,0,3,"BETU","PAP",NA,13,0.091,6020000,540000,0.13,15.648048
"101",1197766,"2012-JUL-06",133.9359,103,0,1,3,"BETU","PAP",NA,17,0.125,6020000,540000,0.17,22.769103
"102",1204606,"2003-AUG-26",11.1923,104,0,0,1,"BETU","PAP",NA,100,1,6060000,390000,1,11.1923
"103",1204606,"2016-AUG-11",13.8005,105,0,1,1,"BETU","PAP","PAP",100,1,6060000,390000,1,13.8005
"104",1211511,"2004-JUN-13",242.1754,107,0,0,2,"POPU","BAL",NA,5,0.012,6e+06,470000,0.05,12.10877
"105",1211511,"2004-JUN-13",242.1754,106,0,0,1,"PICE","MAR",NA,95,0.988,6e+06,470000,0.95,230.06663
"106",1211511,"2016-AUG-09",223.834,108,0,1,1,"PICE","MAR",NA,100,1,6e+06,470000,1,223.834
"107",1218376,"2003-AUG-28",88.3475,109,0,0,1,"PICE","MAR",NA,100,1,6010000,410000,1,88.3475
"108",1218376,"2016-AUG-10",80.3852,110,0,1,1,"PICE","MAR",NA,100,1,6010000,410000,1,80.3852
"109",1232216,"2003-AUG-27",1.7282,111,0,0,1,"BETU","PAP",NA,100,1,5850000,690000,1,1.7282
"110",1239011,"2003-AUG-30",3.45,114,0,0,1,"POPU","BAL",NA,100,1,5960000,370000,1,3.45
"111",1239011,"2013-SEP-05",12.3675,115,0,1,1,"ACER","NEG",NA,51,0.667,5960000,370000,0.51,6.307425
"112",1239011,"2013-SEP-05",12.3675,116,0,1,2,"POPU","BAL",NA,49,0.333,5960000,370000,0.49,6.060075
"113",1245881,"2003-AUG-29",30.1712,118,0,0,4,"PICE","GLA",NA,2,0.125,5960000,320000,0.02,0.603424
"114",1245881,"2003-AUG-29",30.1712,117,0,0,2,"BETU","PAP",NA,21,0.25,5960000,320000,0.21,6.335952
"115",1252776,"2003-AUG-26",78.3303,123,0,0,1,"PICE","MAR",NA,96,0.821,5910000,370000,0.96,75.197088
"116",1252776,"2003-AUG-26",78.3303,124,0,0,2,"LARI","LAR",NA,4,0.179,5910000,370000,0.04,3.133212
"117",1252776,"2018-AUG-22",12.4459,126,0,1,2,"LARI","LAR",NA,7,0.15,5910000,370000,0.07,0.871213
"118",1252776,"2018-AUG-22",12.4459,125,0,1,1,"PICE","MAR",NA,93,0.85,5910000,370000,0.93,11.574687
"119",1259646,"2003-AUG-27",82.4888,128,0,0,2,"LARI","LAR",NA,11,0.12,5910000,330000,0.11,9.073768
"120",1259646,"2003-AUG-27",82.4888,127,0,0,1,"PICE","MAR",NA,89,0.88,5910000,330000,0.89,73.415032
"121",1259646,"2013-SEP-04",105.6398,130,0,1,2,"LARI","LAR",NA,18,0.219,5910000,330000,0.18,19.015164
"122",1259646,"2013-SEP-04",105.6398,129,0,1,1,"PICE","MAR",NA,82,0.781,5910000,330000,0.82,86.624636
"123",1259661,"2003-AUG-27",150.2665,131,0,0,1,"PICE","MAR",NA,100,1,5890000,380000,1,150.2665
"124",1259661,"2008-AUG-19",120.6037,132,0,1,1,"PICE","MAR",NA,100,1,5890000,380000,1,120.6037
"125",1259661,"2018-AUG-23",190.4729,133,0,2,1,"PICE","MAR",NA,100,1,5890000,380000,1,190.4729
"126",1259711,"2003-JUL-19",29.9459,135,0,0,2,"LARI","LAR",NA,4,0.385,5810000,570000,0.04,1.197836
"127",1259711,"2003-JUL-19",29.9459,134,0,0,1,"PICE","MAR",NA,96,0.615,5810000,570000,0.96,28.748064
"128",1259711,"2009-JUL-08",41.2455,136,0,1,1,"PICE","MAR",NA,96,0.733,5810000,570000,0.96,39.59568
"129",1259711,"2009-JUL-08",41.2455,137,0,1,2,"LARI","LAR",NA,4,0.267,5810000,570000,0.04,1.64982
"130",1259711,"2019-SEP-24",3.7624,138,0,2,1,"PICE","MAR",NA,68,0.667,5810000,570000,0.68,2.558432
"131",1259711,"2019-SEP-24",3.7624,139,0,2,2,"LARI","LAR",NA,32,0.333,5810000,570000,0.32,1.203968
"132",1259731,"2003-JUL-02",120.9126,140,0,0,1,"PICE","MAR",NA,100,1,5780000,640000,1,120.9126
"133",1259731,"2009-JUL-06",108.7745,141,0,1,1,"PICE","MAR",NA,100,1,5780000,640000,1,108.7745
"134",1259736,"2003-AUG-26",41.0337,144,0,0,2,"PICE","MAR",NA,4,0.222,5780000,660000,0.04,1.641348
"135",1259736,"2003-AUG-26",41.0337,143,0,0,1,"LARI","LAR",NA,96,0.778,5780000,660000,0.96,39.392352
"136",1259736,"2013-AUG-20",45.5149,146,0,1,2,"PICE","MAR",NA,5,0.25,5780000,660000,0.05,2.275745
"137",1259736,"2013-AUG-20",45.5149,145,0,1,1,"LARI","LAR",NA,95,0.75,5780000,660000,0.95,43.239155
"138",1266546,"2003-JUL-29",50.7733,147,0,0,1,"PICE","MAR",NA,100,1,5860000,390000,1,50.7733
"139",1266546,"2008-AUG-09",31.5763,148,0,1,1,"PICE","MAR",NA,100,1,5860000,390000,1,31.5763
"140",1266546,"2018-AUG-21",43.165,149,0,2,1,"PICE","MAR",NA,100,1,5860000,390000,1,43.165
"141",1273421,"2003-JUN-09",10.0371,150,0,0,1,"PICE","GLA",NA,98,0.667,5850000,370000,0.98,9.836358
"142",1273421,"2003-JUN-09",10.0371,151,0,0,2,"BETU","PAP",NA,2,0.333,5850000,370000,0.02,0.200742
"143",1273466,"2003-AUG-14",100.0725,154,0,0,2,"LARI","LAR",NA,10,0.121,5780000,530000,0.1,10.00725
"144",1273466,"2003-AUG-14",100.0725,153,0,0,1,"PICE","MAR",NA,90,0.879,5780000,530000,0.9,90.06525
"145",1280296,"2003-JUL-29",27.5715,157,0,0,1,"PICE","MAR",NA,100,1,5840000,340000,1,27.5715
"146",1280296,"2008-AUG-08",21.5129,158,0,1,1,"PICE","MAR",NA,100,1,5840000,340000,1,21.5129
"147",1280371,"2003-JUL-21",123.9936,160,0,0,2,"BETU","PAP",NA,8,0.122,5730000,620000,0.08,9.919488
"148",1280371,"2003-JUL-21",123.9936,159,0,0,1,"POPU","TRE",NA,92,0.878,5730000,620000,0.92,114.074112
"149",1280371,"2014-JUL-22",231.5475,161,0,1,1,"POPU","TRE",NA,91,0.824,5730000,620000,0.91,210.708225
"150",1280371,"2014-JUL-22",231.5475,162,0,1,2,"BETU","PAP",NA,9,0.176,5730000,620000,0.09,20.839275
"151",1287251,"2003-JUL-15",120.0913,163,0,0,1,"ABIE","BAL",NA,38,0.35,5710000,610000,0.38,45.634694
"152",1287251,"2019-JUN-26",34.6895,166,0,2,2,"PICE","MAR",NA,49,0.188,5710000,610000,0.49,16.997855
"153",1287251,"2019-JUN-26",34.6895,165,0,2,1,"ABIE","BAL",NA,51,0.75,5710000,610000,0.51,17.691645
"154",1287251,"2019-JUN-26",34.6895,167,0,2,3,"BETU","PAP",NA,0,0.063,5710000,610000,0,0
"155",1287286,"2003-JUL-04",52.8692,168,0,0,1,"PICE","MAR",NA,100,1,5650000,320000,1,52.8692
"156",1287286,"2013-JUL-06",74.4647,169,0,1,1,"PICE","MAR",NA,100,1,5650000,320000,1,74.4647
"157",1294121,"2004-JUN-08",173.7042,170,0,0,1,"POPU","TRE",NA,71,0.619,5710000,570000,0.71,123.329982
"158",1294121,"2004-JUN-08",173.7042,172,0,0,3,"SALI","SPP",NA,4,0.071,5710000,570000,0.04,6.948168
"159",1294121,"2004-JUN-08",173.7042,173,0,0,4,"ACER","SPI",NA,0,0.062,5710000,570000,0,0
"160",1294121,"2004-JUN-08",173.7042,171,0,0,2,"POPU","BAL",NA,25,0.248,5710000,570000,0.25,43.42605
"161",1294121,"2014-JUN-10",189.7317,175,0,1,2,"POPU","TRE",NA,36,0.478,5710000,570000,0.36,68.303412
"162",1294121,"2014-JUN-10",189.7317,174,0,1,1,"POPU","BAL",NA,65,0.522,5710000,570000,0.65,123.325605
"163",1294161,"2003-JUN-19",159.3584,176,0,0,3,"POPU","TRE",NA,1,0.025,5640000,290000,0.01,1.593584
"164",1307826,"2018-AUG-02",7.9139,180,0,2,2,"BETU","PAP",NA,22,0.385,5750000,350000,0.22,1.741058
"165",1307826,"2018-AUG-02",7.9139,181,0,2,3,"POPU","BAL",NA,3,0.026,5750000,350000,0.03,0.237417
"166",1307826,"2018-AUG-02",7.9139,179,0,2,1,"POPU","TRE",NA,75,0.59,5750000,350000,0.75,5.935425
"167",1307926,"2003-AUG-30",0.6252,182,0,0,1,"PICE","MAR",NA,100,1,5600000,290000,1,0.6252
"168",1307926,"2009-AUG-19",21.7119,183,0,1,1,"PICE","MAR",NA,100,1,5600000,720000,1,21.7119
"169",1307926,"2019-SEP-19",32.2392,184,0,2,1,"PICE","MAR",NA,100,1,5600000,720000,1,32.2392
"170",1321586,"2003-JUN-03",59.6804,189,0,0,1,"POPU","TRE",NA,100,0.8,5710000,330000,1,59.6804
"171",1321586,"2003-JUN-03",59.6804,190,0,0,2,"PICE","GLA",NA,0,0.2,5710000,330000,0,0
"172",1321586,"2008-JUN-23",2.6339,192,0,1,2,"PICE","MAR",NA,5,0.333,5710000,330000,0.05,0.131695
"173",1321586,"2008-JUN-23",2.6339,191,0,1,1,"POPU","TRE",NA,96,0.667,5710000,330000,0.96,2.528544
"174",1321586,"2018-AUG-02",0.4293,193,0,2,1,"PICE","GLA",NA,100,1,5710000,330000,1,0.4293
"175",1321686,"2003-JUN-03",2.0112,194,0,0,1,"POPU","TRE",NA,91,0.8,5560000,7e+05,0.91,1.830192
"176",1321686,"2003-JUN-03",2.0112,195,0,0,2,"BETU","PAP",NA,9,0.2,5560000,7e+05,0.09,0.181008
"177",1321686,"2009-JUN-01",26.0019,196,0,1,1,"POPU","TRE",NA,90,0.8,5560000,7e+05,0.9,23.40171
"178",1321686,"2009-JUN-01",26.0019,197,0,1,2,"BETU","PAP",NA,10,0.2,5560000,7e+05,0.1,2.60019
"179",1321686,"2019-JUN-20",17.5848,199,0,2,2,"POPU","TRE",NA,23,0.5,5560000,7e+05,0.23,4.044504
"180",1321686,"2019-JUN-20",17.5848,198,0,2,1,"BETU","PAP",NA,77,0.5,5560000,7e+05,0.77,13.540296
"181",1328581,"2004-AUG-09",95.5595,201,0,0,2,"LARI","LAR",NA,28,0.083,5520000,320000,0.28,26.75666
"182",1328581,"2004-AUG-09",95.5595,200,0,0,1,"PICE","MAR",NA,72,0.917,5520000,320000,0.72,68.80284
"183",1328581,"2009-AUG-04",114.683,202,0,1,1,"PICE","MAR",NA,75,0.919,5520000,320000,0.75,86.01225
"184",1328581,"2009-AUG-04",114.683,203,0,1,2,"LARI","LAR",NA,25,0.081,5520000,320000,0.25,28.67075
"185",1328581,"2019-SEP-18",109.0564,205,0,2,2,"LARI","LAR",NA,20,0.063,5520000,320000,0.2,21.81128
"186",1328581,"2019-SEP-18",109.0564,204,0,2,1,"PICE","MAR",NA,80,0.938,5520000,320000,0.8,87.24512
"187",1328586,"2003-JUN-22",21.4325,206,0,0,1,"PICE","MAR",NA,95,0.889,5510000,340000,0.95,20.360875
"188",1328586,"2003-JUN-22",21.4325,207,0,0,2,"LARI","LAR",NA,5,0.111,5510000,340000,0.05,1.071625
"189",1328586,"2014-JUN-19",70.9145,209,0,1,2,"LARI","LAR",NA,38,0.222,5510000,340000,0.38,26.94751
"190",1328586,"2014-JUN-19",70.9145,208,0,1,1,"PICE","MAR",NA,62,0.778,5510000,340000,0.62,43.96699
"191",1335371,"2003-JUL-31",8.2074,210,0,0,1,"PICE","GLA",NA,100,1,5640000,410000,1,8.2074
"192",1342331,"2003-JUN-07",2.1962,213,0,0,1,"POPU","TRE",NA,100,1,5500000,7e+05,1,2.1962
"193",1342331,"2009-JUN-04",0.45,214,0,1,1,"POPU","TRE",NA,100,1,5500000,7e+05,1,0.45
"194",1342331,"2019-SEP-16",0.1253,215,0,2,1,"POPU","TRE",NA,100,1,5500000,7e+05,1,0.1253
"195",1342351,"2004-AUG-09",31.6153,216,0,0,5,"AMEL","ALN",NA,0,0.007,5470000,340000,0,0
"196",1342351,"2009-AUG-05",31.5865,217,0,1,1,"LARI","LAR",NA,52,0.667,5470000,340000,0.52,16.42498
"197",1342351,"2009-AUG-05",31.5865,218,0,1,2,"PICE","MAR",NA,48,0.333,5470000,340000,0.48,15.16152
"198",1349216,"2003-JUN-05",21.6582,219,0,0,1,"POPU","TRE",NA,100,1,5470000,710000,1,21.6582
"199",1349216,"2009-JUN-05",148.8674,220,0,1,1,"POPU","TRE",NA,100,1,5470000,710000,1,148.8674
"200",1356096,"2003-JUL-07",11.1499,221,0,0,1,"POPU","TRE",NA,100,1,5460000,7e+05,1,11.1499
"201",1356096,"2014-JUL-08",3.0761,222,0,1,1,"POPU","TRE",NA,100,1,5460000,7e+05,1,3.0761
